Player,2021-22
Talen Horton-Tucker\hortota01,"$9,500,000"
Jaren Jackson Jr.\jacksja02,"$9,180,560"
James Wiseman\wisemja01,"$9,166,800"
Nicolas Batum\batumni01,"$12,213,507"
Dario Šarić\saricda01,"$9,000,000"
Jalen Green\greenja05,"$8,992,200"
Nerlens Noel\noelne01,"$8,800,000"
Jakob Poeltl\poeltja01,"$8,750,000"
Maxi Kleber\klebima01,"$8,750,000"
Thomas Bryant\bryanth01,"$8,730,159"
Kemba Walker\walkeke02,"$34,967,442"
Royce O'Neale\onealro01,"$8,678,571"
RJ Barrett\barrerj01,"$8,623,920"
Alex Caruso\carusal01,"$8,604,651"
Delon Wright\wrighde01,"$8,526,316"
De'Anthony Melton\meltode01,"$8,437,500"
Daniel Theis\theisda01,"$8,372,093"
Monte Morris\morrimo01,"$8,333,333"
Trae Young\youngtr01,"$8,326,471"
JaMychal Green\greenja01,"$8,292,683"
LaMelo Ball\ballla01,"$8,231,760"
Seth Curry\curryse01,"$8,186,047"
Mason Plumlee\plumlma01,"$8,137,500"
Evan Mobley\mobleev01,"$8,075,160"
Cedi Osman\osmande01,"$8,050,000"
DeAndre Jordan\jordade01,"$11,109,327"
De'Andre Hunter\huntede01,"$7,775,400"
Mo Bamba\bambamo01,"$7,568,742"
Tyus Jones\jonesty01,"$7,522,200"
Ivica Zubac\zubaciv01,"$7,518,518"
T.J. McConnell\mccontj01,"$7,500,000"
Patrick Williams\willipa01,"$7,422,000"
Scottie Barnes\barnesc01,"$7,280,520"
Darius Garland\garlada01,"$7,040,880"
Chris Boucher\bouchch01,"$7,009,615"
D.J. Augustin\augusdj01,"$7,622,467"
P.J. Tucker\tuckepj01,"$7,000,000"
Zach Collins\colliza01,"$6,984,127"
Wendell Carter Jr.\cartewe01,"$6,920,027"
Isaac Okoro\okorois01,"$6,720,720"
Jalen Suggs\suggsja01,"$6,593,040"
Cameron Payne\payneca01,"$6,500,000"
Joakim Noah\noahjo01,"$6,431,666"
Jarrett Culver\culveja01,"$6,395,160"
Khem Birch\birchkh01,"$6,350,000"
Collin Sexton\sextoco01,"$6,349,671"
Juancho Hernangómez\hernaju01,"$6,175,440"
Onyeka Okongwu\okongon01,"$6,104,280"
Justin Holiday\holidju01,"$6,006,420"
Josh Giddey\giddejo01,"$5,988,000"
Rudy Gay\gayru01,"$5,890,000"
Dennis Schröder\schrode01,"$5,890,000"
Patty Mills\millspa02,"$5,890,000"
Kevin Knox\knoxke01,"$5,845,978"
Coby White\whiteco01,"$5,837,760"
Timofey Mozgov\mozgoti01,"$5,573,334"
Killian Hayes\hayeski01,"$5,572,680"
Mikal Bridges\bridgmi01,"$5,557,725"
Shai Gilgeous-Alexander\gilgesh01,"$5,495,532"
Jonathan Kuminga\kuminjo01,"$5,466,360"
Miles Bridges\bridgmi02,"$5,421,493"
Jaxson Hayes\hayesja02,"$5,348,280"
Pat Connaughton\connapa01,"$5,333,333"
Michael Porter Jr.\portemi01,"$5,258,735"
Ryan Anderson\anderry01,"$5,214,584"
Hamidou Diallo\diallha01,"$5,200,000"
Kevon Looney\looneke01,"$5,178,572"
Troy Brown Jr.\browntr01,"$5,170,564"
Obi Toppin\toppiob01,"$5,105,160"
Franz Wagner\wagnefr01,"$5,007,840"
Josh Jackson\jacksjo02,"$5,005,350"
JaVale McGee\mcgeeja01,"$5,000,000"
Robin Lopez\lopezro01,"$5,000,000"
Kendrick Nunn\nunnke01,"$5,000,000"
Lou Williams\willilo02,"$5,000,000"
Luol Deng\denglu01,"$4,990,000"
Rui Hachimura\hachiru01,"$4,916,160"
Garrett Temple\templga01,"$4,910,000"
Cory Joseph\josepco01,"$7,310,000"
Taj Gibson\gibsota01,"$4,910,000"
Torrey Craig\craigto01,"$4,878,049"
Rajon Rondo\rondora01,"$2,641,691"
Bruce Brown\brownbr01,"$4,736,102"
Deni Avdija\avdijde01,"$4,692,840"
Donte DiVincenzo\divindo01,"$4,675,830"
Cam Reddish\reddica01,"$4,670,160"
David Nwaba\nwabada01,"$4,650,000"
Furkan Korkmaz\korkmfu01,"$4,629,630"
Davion Mitchell\mitchda01,"$4,603,320"
Ish Smith\smithis01,"$4,500,000"
Jeff Green\greenje02,"$4,500,000"
Jalen Smith\smithja04,"$4,458,000"
Lonnie Walker IV\walkelo01,"$4,447,896"
Cameron Johnson\johnsca02,"$4,437,000"
Ziaire Williams\willizi02,"$4,373,160"
Maurice Harkless\harklma01,"$4,347,600"
Bobby Portis\portibo01,"$4,347,600"
Jarred Vanderbilt\vandeja01,"$4,259,259"
Kevin Huerter\huertke01,"$4,253,357"
Devin Vassell\vassede01,"$4,235,160"
P.J. Washington\washipj01,"$4,215,120"
James Bouknight\bouknja01,"$4,154,400"
Josh Okogie\okogijo01,"$4,087,904"
Grayson Allen\allengr01,"$4,054,695"
Tyrese Haliburton\halibty01,"$4,023,600"
Tyler Herro\herroty01,"$4,004,280"
Dorian Finney-Smith\finnedo01,"$4,000,000"
Terence Davis\daviste02,"$4,000,000"
George Hill\hillge01,"$4,000,000"
Gorgui Dieng\dienggo01,"$4,000,000"
Aaron Holiday\holidaa01,"$3,980,551"
Joshua Primo\primojo01,"$3,946,800"
Jake Layman\laymaja01,"$3,940,184"
Anfernee Simons\simonan01,"$3,938,818"
Justise Winslow\winslju01,"$3,902,439"
Kira Lewis Jr.\lewiski01,"$3,822,240"
Romeo Langford\langfro01,"$3,804,360"
Facundo Campazzo\campafa01,"$3,804,150"
Landry Shamet\shamela01,"$3,768,342"
Chris Duarte\duartch01,"$3,749,520"
Alex Len\lenal01,"$3,731,707"
Robert Williams\williro04,"$3,661,976"
Jevon Carter\carteje01,"$4,107,149"
Aaron Nesmith\nesmiaa01,"$3,631,200"
Moses Moody\moodymo01,"$3,562,080"
Boban Marjanović\marjabo01,"$3,500,000"
Mike Muscala\muscami01,"$3,500,000"
Cole Anthony\anthoco01,"$3,449,400"
Corey Kispert\kispeco01,"$3,383,640"
Trey Burke\burketr01,"$3,333,333"
Georges Niang\niangge01,"$3,300,000"
Chuma Okeke\okekech01,"$3,277,080"
Isaiah Stewart\stewais01,"$3,277,080"
Nickeil Alexander-Walker\alexani01,"$3,261,480"
Alperen Şengün\sengual01,"$3,214,680"
Nicolas Batum\batumni01,"$12,213,507"
Jon Leuer\leuerjo01,"$3,169,347"
Aleksej Pokusevski\pokusal01,"$3,113,160"
Goga Bitadze\bitadgo01,"$3,098,400"
Trey Murphy III\murphtr02,"$3,053,760"
Sterling Brown\brownst02,"$3,000,000"
Michael Carter-Williams\cartemi01,"$3,000,000"
Frank Jackson\jacksfr01,"$3,000,000"
Josh Green\greenjo02,"$2,957,520"
Tre Mann\manntr01,"$2,901,240"
Dewayne Dedmon\dedmode01,"$5,256,308"
Andrew Nicholson\nichoan01,"$2,844,429"
Matisse Thybulle\thybuma01,"$2,840,160"
Saddiq Bey\beysa01,"$2,824,320"
Kai Jones\joneska01,"$2,770,560"
Brandon Clarke\clarkbr01,"$2,726,880"
Precious Achiuwa\achiupr01,"$2,711,280"
Jalen Johnson\johnsja05,"$2,659,560"
Paul Millsap\millspa01,"$2,641,691"
E'Twaun Moore\mooreet01,"$2,641,691"
Udonis Haslem\hasleud01,"$2,641,691"
Markieff Morris\morrima02,"$2,641,691"
Trevor Ariza\arizatr01,"$2,641,691"
DeAndre Jordan\jordade01,"$11,109,327"
Dwight Howard\howardw01,"$2,641,691"
Wayne Ellington\ellinwa01,"$2,641,691"
Carmelo Anthony\anthoca01,"$2,641,691"
Enes Freedom\kanteen01,"$2,641,691"
Andre Iguodala\iguodan01,"$2,641,691"
Rajon Rondo\rondora01,"$2,641,691"
James Johnson\johnsja01,"$2,641,691"
Blake Griffin\griffbl01,"$32,405,817"
LaMarcus Aldridge\aldrila01,"$2,641,691"
Avery Bradley\bradlav01,"$2,641,691"
Ed Davis\davised01,"$2,641,691"
Grant Williams\willigr01,"$2,617,800"
Tyrese Maxey\maxeyty01,"$2,602,920"
Keon Johnson\johnske07,"$2,553,120"
Darius Bazley\bazleda01,"$2,513,040"
Trey Lyles\lylestr01,"$2,500,000"
Zeke Nnaji\nnajize01,"$2,498,760"
Isaiah Jackson\jacksis01,"$2,451,120"
Ty Jerome\jeromty01,"$2,412,840"
Hassan Whiteside\whiteha01,"$2,401,537"
Kent Bazemore\bazemke01,"$2,401,537"
Austin Rivers\riverau01,"$2,401,537"
Andre Drummond\drumman01,"$2,401,537"
Cory Joseph\josepco01,"$7,310,000"
Cody Zeller\zelleco01,"$2,389,641"
Ben McLemore\mclembe01,"$2,389,641"
Solomon Hill\hillso01,"$2,389,641"
Tony Snell\snellto01,"$2,389,641"
Victor Oladipo\oladivi01,"$2,389,641"
Dewayne Dedmon\dedmode01,"$5,256,308"
Otto Porter Jr.\porteot01,"$2,389,641"
Leandro Bolmaro\bolmale01,"$2,353,320"
Usman Garuba\garubus01,"$2,353,320"
Willy Hernangómez\hernawi01,"$2,327,220"
Nassir Little\littlna01,"$2,316,240"
R.J. Hampton\hamptrj01,"$2,303,040"
Josh Christopher\chrisjo01,"$2,259,240"
Monta Ellis\ellismo01,"$2,245,400"
Elfrid Payton\paytoel01,"$2,239,544"
Rodney Hood\hoodro01,"$2,239,544"
Dylan Windler\windldy01,"$2,239,200"
Immanuel Quickley\quickim01,"$2,210,640"
John Konchar\konchjo01,"$2,197,674"
Quentin Grimes\grimequ01,"$2,168,760"
Jordan Poole\poolejo01,"$2,161,440"
Bol Bol\bolbo01,"$2,161,152"
Keldon Johnson\johnske04,"$2,145,720"
Payton Pritchard\pritcpa01,"$2,137,440"
Kevin Porter Jr.\porteke02,"$2,130,240"
Bones Hyland\hylanbo01,"$2,096,880"
Raul Neto\netora01,"$2,089,448"
Frank Kaminsky\kaminfr01,"$2,089,448"
Nemanja Bjelica\bjeline01,"$2,089,448"
Udoka Azubuike\azubuud01,"$2,075,880"
Jaden McDaniels\mcdanja02,"$2,063,280"
Malachi Flynn\flynnma01,"$2,048,040"
Cam Thomas\thomaca02,"$2,036,280"
Desmond Bane\banede01,"$2,033,160"
Jaden Springer\sprinja01,"$2,023,800"
Day'Ron Sharpe\sharpda01,"$2,009,040"
Jeremiah Robinson-Earl\robinje02,"$2,000,000"
Killian Tillie\tilliki02,"$2,000,000"
Abdel Nader\naderab01,"$2,000,000"
Théo Maledon\maledth01,"$2,000,000"
Kenrich Williams\willike04,"$2,000,000"
Santi Aldama\aldamsa01,"$1,994,520"
Damian Jones\jonesda03,"$1,977,011"
Wesley Matthews\matthwe02,"$1,958,501"
Rodney McGruder\mcgruro01,"$1,939,350"
DeAndre' Bembry\bembrde01,"$2,541,217"
Gary Payton II\paytoga02,"$1,939,350"
Timothé Luwawu-Cabarrot\luwawti01,"$1,939,350"
PJ Dozier\doziepj01,"$1,910,860"
Damion Lee\leeda03,"$1,910,860"
Larry Sanders\sandela01,"$1,865,547"
Shake Milton\miltosh01,"$1,846,738"
Mitchell Robinson\robinmi01,"$1,802,057"
Jalen Brunson\brunsja01,"$1,802,057"
Dennis Smith Jr.\smithde03,"$1,789,256"
Malik Monk\monkma01,"$1,789,256"
Semi Ojeleye\ojelese01,"$1,789,256"
Frank Ntilikina\ntilila01,"$1,789,256"
Tony Bradley\bradlto01,"$1,789,256"
Didi Louzada\louzama01,"$1,786,878"
Daniel Gafford\gaffoda01,"$1,782,621"
Terance Mann\mannte01,"$1,782,621"
Eric Paschall\pascher01,"$1,782,621"
KZ Okpala\okpalkz01,"$1,782,621"
Carsen Edwards\edwarca01,"$76,744"
Bruno Fernando\fernabr01,"$1,782,621"
Cody Martin\martico01,"$1,782,621"
Nic Claxton\claxtni01,"$1,782,621"
Luguentz Dort\dortlu01,"$1,782,621"
Isaiah Roby\robyis01,"$1,782,621"
Jaylen Nowell\nowelja01,"$1,782,621"
Naz Reid\reidna01,"$1,782,621"
Vlatko Čančar\cancavl01,"$1,782,621"
Dean Wade\wadede01,"$1,782,621"
Jalen McDaniels\mcdanja01,"$1,782,621"
Drew Eubanks\eubandr01,"$1,762,796"
Chimezie Metu\metuch01,"$1,762,796"
Yuta Watanabe\watanyu01,"$1,762,769"
Svi Mykhailiuk\mykhasv01,"$1,729,217"
Keita Bates-Diop\bateske01,"$1,729,217"
Moritz Wagner\wagnemo01,"$1,729,217"
Thanasis Antetokounmpo\antetth01,"$1,729,217"
Isaac Bonga\bongais01,"$1,729,217"
Isaiah Hartenstein\harteis01,"$3,430,810"
Juan Toscano-Anderson\toscaju01,"$1,701,593"
Moses Brown\brownmo01,"$1,720,779"
Oshae Brissett\brissos01,"$1,701,593"
Isaiah Hartenstein\harteis01,"$3,430,810"
Herbert Jones\joneshe01,"$1,700,000"
Gabriel Deck\deckga01,"$1,690,507"
Jordan McLaughlin\mclaujo01,"$1,669,178"
Javonte Green\greenja02,"$1,669,178"
Max Strus\strusma01,"$1,669,178"
Gabe Vincent\vincega01,"$1,669,178"
Kevin Pangos\pangoke01,"$1,669,178"
Matt Thomas\thomama02,"$1,669,178"
Vernon Carey Jr.\careyve01,"$1,517,981"
Xavier Tillman Sr.\tillmxa01,"$1,517,981"
Tyrell Terry\terryty01,"$1,517,981"
Tre Jones\jonestr01,"$1,517,981"
Robert Woodard II\woodaro01,"$1,517,981"
Jahmi'us Ramsey\ramseja01,"$1,517,981"
CJ Elleby\ellebcj01,"$1,517,981"
Elijah Hughes\hugheel01,"$1,517,981"
Isaiah Joe\joeis01,"$1,517,981"
Naji Marshall\marshna01,"$1,517,981"
Jordan Nwora\nworajo01,"$1,517,981"
Nick Richards\richani01,"$1,517,981"
Anthony Gill\gillan01,"$1,517,981"
Paul Reed\reedpa01,"$1,517,981"
Kenyon Martin Jr.\martike04,"$1,517,981"
Jae'Sean Tate\tateja01,"$1,517,981"
Lamar Stevens\stevela01,"$1,517,981"
Isaiah Todd\toddis01,"$1,500,000"
Jose Alvarado\alvarjo01,"$1,500,000"
Saben Lee\leesa01,"$1,489,065"
Omer Yurtseven\yurtsom01,"$1,489,065"
Armoni Brooks\brookar01,"$1,625,991"
J.R. Smith\smithjr01,"$1,456,666"
Danuel House Jr.\houseda01,"$2,045,094"
Bismack Biyombo\biyombi01,"$1,366,392"
George Hill\hillge01,"$4,000,000"
DeMarre Carroll\carrode01,"$1,252,127"
JT Thor\thorjt01,"$1,250,000"
Garrison Mathews\mathega01,"$1,093,598"
Alfonzo McKinnie\mckinal01,"$1,090,007"
Jabari Parker\parkeja01,"$1,068,288"
Jason Preston\prestja01,"$1,062,303"
Isaiah Livers\liveris01,"$1,057,260"
Guerschon Yabusele\yabusgu01,"$1,039,080"
Aaron Wiggins\wiggiaa01,"$1,000,000"
Tristan Thompson\thomptr01,"$10,720,900"
Kyle Singler\singlky01,"$999,200"
Marquese Chriss\chrisma01,"$958,529"
Jared Butler\butleja02,"$925,258"
Greg Brown III\browngr01,"$925,258"
Miles McBride\mcbrimi01,"$925,258"
Brandon Boston Jr.\bostobr01,"$925,258"
Marko Simonovic\simonma01,"$925,258"
Vit Krejci\krejcvi01,"$925,258"
Charles Bassey\bassech01,"$925,258"
Dalano Banton\bantoda01,"$925,258"
Jock Landale\landajo01,"$925,258"
Ayo Dosunmu\dosunay01,"$925,258"
Austin Reaves\reaveau01,"$925,258"
Luka Garza\garzalu01,"$925,258"
Lance Stephenson\stephla01,"$924,730"
